"행정구역","2013년03월_전월인구수_남자인구수","2013년03월_전월인구수_여자인구수","2013년03월_전월인구수_계","2013년03월_당월인구수_남자인구수","2013년03월_당월인구수_여자인구수","2013년03월_당월인구수_계","2013년03월_인구증감_남자인구수","2013년03월_인구증감_여자인구수","2013년03월_인구증감_계"
"전국  (1000000000)","","","50,991,003","25,529,381","25,474,462","51,003,843","","","12,840"
"서울특별시  (1100000000)","","","10,196,434","5,037,288","5,154,769","10,192,057","","","-4,377"
"서울특별시 종로구 (1111000000)","","","163,881","81,033","81,744","162,777","","","-1,104"
"서울특별시 중구 (1114000000)","","","132,934","66,605","66,047","132,652","","","-282"
"서울특별시 용산구 (1117000000)","","","242,815","118,012","124,618","242,630","","","-185"
"서울특별시 성동구 (1120000000)","","","301,741","150,875","151,163","302,038","","","297"
"서울특별시 광진구 (1121500000)","","","371,409","183,297","187,873","371,170","","","-239"
"서울특별시 동대문구 (1123000000)","","","362,966","182,386","180,239","362,625","","","-341"
"서울특별시 중랑구 (1126000000)","","","418,897","209,695","208,874","418,569","","","-328"
"서울특별시 성북구 (1129000000)","","","481,440","237,169","244,482","481,651","","","211"
"서울특별시 강북구 (1130500000)","","","342,692","169,407","173,167","342,574","","","-118"
"서울특별시 도봉구 (1132000000)","","","361,782","178,785","182,787","361,572","","","-210"
"서울특별시 노원구 (1135000000)","","","596,575","291,282","304,647","595,929","","","-646"
"서울특별시 은평구 (1138000000)","","","502,645","247,013","256,218","503,231","","","586"
"서울특별시 서대문구 (1141000000)","","","316,439","154,679","161,951","316,630","","","191"
"서울특별시 마포구 (1144000000)","","","384,550","186,266","198,048","384,314","","","-236"
"서울특별시 양천구 (1147000000)","","","495,985","246,487","249,139","495,626","","","-359"
"서울특별시 강서구 (1150000000)","","","567,348","278,772","288,810","567,582","","","234"
"서울특별시 구로구 (1153000000)","","","427,475","214,730","212,604","427,334","","","-141"
"서울특별시 금천구 (1154500000)","","","242,985","124,421","118,403","242,824","","","-161"
"서울특별시 영등포구 (1156000000)","","","390,987","196,405","194,485","390,890","","","-97"
"서울특별시 동작구 (1159000000)","","","407,662","201,279","207,564","408,843","","","1,181"
"서울특별시 관악구 (1162000000)","","","522,903","265,185","257,888","523,073","","","170"
"서울특별시 서초구 (1165000000)","","","437,213","211,549","226,140","437,689","","","476"
"서울특별시 강남구 (1168000000)","","","564,275","270,341","292,829","563,170","","","-1,105"
"서울특별시 송파구 (1171000000)","","","671,284","327,974","341,714","669,688","","","-1,596"
"서울특별시 강동구 (1174000000)","","","487,551","243,641","243,335","486,976","","","-575"
"부산광역시  (2600000000)","","","3,539,455","1,753,758","1,784,527","3,538,285","","","-1,170"
