행정기관코드,기준연월,시도명,시군구명,읍면동명,전체 전월인구수,전월 남자인구수,전월 여자인구수,전체 당월인구수,당월 남자인구수,당월 여자인구수,전체 인구증감,남자 인구증감,여자 인구증감
1111051500,2023-03-31,서울특별시,종로구,청운효자동,11605,5325,6280,11574,5301,6273,-31,-24,-7
1111053000,2023-03-31,서울특별시,종로구,사직동,9120,4060,5060,9106,4050,5056,-14,-10,-4
1111054000,2023-03-31,서울특별시,종로구,삼청동,2322,1104,1218,2313,1101,1212,-9,-3,-6
1111055000,2023-03-31,서울특별시,종로구,부암동,9178,4340,4838,9148,4319,4829,-30,-21,-9
1111056000,2023-03-31,서울특별시,종로구,평창동,17602,8212,9390,17553,8201,9352,-49,-11,-38
1111057000,2023-03-31,서울특별시,종로구,무악동,8019,3698,4321,8014,3691,4323,-5,-7,2
1111058000,2023-03-31,서울특별시,종로구,교남동,9783,4505,5278,9751,4482,5269,-32,-23,-9
1111060000,2023-03-31,서울특별시,종로구,가회동,3969,1845,2124,3962,1844,2118,-7,-1,-6
1111061500,2023-03-31,서울특별시,종로구,종로1.2.3.4가동,6760,4113,2647,6740,4099,2641,-20,-14,-6
1111063000,2023-03-31,서울특별시,종로구,종로5.6가동,5396,2837,2559,5401,2843,2558,5,6,-1
1111064000,2023-03-31,서울특별시,종로구,이화동,7096,3360,3736,7067,3345,3722,-29,-15,-14
1111065000,2023-03-31,서울특별시,종로구,혜화동,16197,7792,8405,16148,7757,8391,-49,-35,-14
1111067000,2023-03-31,서울특별시,종로구,창신제1동,4637,2462,2175,4613,2447,2166,-24,-15,-9
1111068000,2023-03-31,서울특별시,종로구,창신제2동,7682,3949,3733,7650,3937,3713,-32,-12,-20
1111069000,2023-03-31,서울특별시,종로구,창신제3동,6459,3168,3291,6436,3155,3281,-23,-13,-10
1111070000,2023-03-31,서울특별시,종로구,숭인제1동,5783,2785,2998,5772,2783,2989,-11,-2,-9
1111071000,2023-03-31,서울특별시,종로구,숭인제2동,9825,4844,4981,9812,4815,4997,-13,-29,16
1114052000,2023-03-31,서울특별시,중구,소공동,2228,1062,1166,2207,1049,1158,-21,-13,-8
1114054000,2023-03-31,서울특별시,중구,회현동,4506,2337,2169,4479,2327,2152,-27,-10,-17
1114055000,2023-03-31,서울특별시,중구,명동,2728,1172,1556,2714,1164,1550,-14,-8,-6
1114057000,2023-03-31,서울특별시,중구,필동,3938,2046,1892,3973,2063,1910,35,17,18
1114058000,2023-03-31,서울특별시,중구,장충동,4577,2426,2151,4603,2430,2173,26,4,22
1114059000,2023-03-31,서울특별시,중구,광희동,5429,2727,2702,5551,2775,2776,122,48,74
1114060500,2023-03-31,서울특별시,중구,을지로동,1674,1021,653,2012,1185,827,338,164,174
1114061500,2023-03-31,서울특별시,중구,신당동,7607,3740,3867,7573,3731,3842,-34,-9,-25
1114062500,2023-03-31,서울특별시,중구,다산동,13486,6524,6962,13450,6509,6941,-36,-15,-21
1114063500,2023-03-31,서울특별시,중구,약수동,16347,7549,8798,16317,7530,8787,-30,-19,-11
1114064500,2023-03-31,서울특별시,중구,청구동,13149,6220,6929,13147,6213,6934,-2,-7,5
1114065000,2023-03-31,서울특별시,중구,신당제5동,10127,4909,5218,10148,4910,5238,21,1,20
1114066500,2023-03-31,서울특별시,중구,동화동,10033,4810,5223,10002,4796,5206,-31,-14,-17
1114067000,2023-03-31,서울특별시,중구,황학동,12739,6060,6679,12812,6082,6730,73,22,51
1114068000,2023-03-31,서울특별시,중구,중림동,11987,5954,6033,11975,5935,6040,-12,-19,7
1117051000,2023-03-31,서울특별시,용산구,후암동,16294,7943,8351,16239,7899,8340,-55,-44,-11
